Name #1,Name #2,Event,Type,Date (Year)
Dawson,Solay,DLTLLY NewcomerBattle (Day 2/2,Rap Battle,2016
Brian Damage & Harry Crotch,Robscure & Karma,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
ANO-NYM,Dirty GommoraH,DLTLLY RapBattle (Day 2/2,Rap Battle,2016
Cris Kotzen,MC Maik,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Mr. Whyte,Four Seven,DLTLLY NewcomerBattle (Day 2/2,Rap Battle,2016
Davie Jones,Mars B.,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
Hansen,T-Way,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Joe-L,Schalle,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Tobi High,Max Stoned,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
ShaoLum,WandelBarZ,DLTLLY RapBattle (Day 2/2,Rap Battle,2016
Jack Dragon,Henrey,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
